"protein"	"targetcluster"	"annotcluster"	"categorycluster"	"cluster.ref"	"targetsingle"	"annotsingle"	"categorysingle"	"annot"
"bin_16||F2T2_NODE_31_length_5146_cov_2.359065_9"	"phrog_1405"	NA	"unknown function"	"YP_010083946.1"	"phrog_1405"	NA	"unknown function"	"NA"
"bin_03||F4M_NODE_26_length_3770_cov_3.635801_2"	"phrog_7225"	NA	"unknown function"	"YP_009778072.1"	"phrog_10186"	NA	"unknown function"	"NA"
"bin_03||F1M_NODE_35_length_2293_cov_2.212243_5"	"phrog_7225"	NA	"unknown function"	"YP_009778072.1"	"phrog_10918"	NA	"unknown function"	"NA"
"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_49"	"phrog_7704"	NA	"unknown function"	"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_49"	"phrog_924"	NA	"unknown function"	"NA"
"bin_39||F4T1_NODE_13_length_12920_cov_15.385931_22"	"phrog_7704"	NA	"unknown function"	"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_49"	"phrog_7704"	NA	"unknown function"	"NA"
"bin_57||F2T2_NODE_5_length_34551_cov_33.694979_37"	"phrog_7704"	NA	"unknown function"	"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_49"	"phrog_924"	NA	"unknown function"	"NA"
"bin_13||F1T2_NODE_77_length_2142_cov_2.168184_2"	"phrog_533"	"portal protein"	"head and packaging"	"YP_004508381.1"	"phrog_533"	"portal protein"	"head and packaging"	"portal protein"
"bin_11||F2T2_NODE_32_length_4920_cov_4.094347_2"	"phrog_533"	"portal protein"	"head and packaging"	"YP_004508381.1"	"phrog_533"	"portal protein"	"head and packaging"	"portal protein"
"bin_12||F1T1_NODE_25_length_6194_cov_4.898029_1"	"phrog_514"	"major head protein"	"head and packaging"	"bin_12||F1T1_NODE_25_length_6194_cov_4.898029_1"	"phrog_514"	"major head protein"	"head and packaging"	"major head protein"
"bin_80||F4T1_NODE_46_length_3437_cov_2.298936_2"	"phrog_514"	"major head protein"	"head and packaging"	"bin_12||F1T1_NODE_25_length_6194_cov_4.898029_1"	"phrog_514"	"major head protein"	"head and packaging"	"major head protein"
"bin_12||F3T1_NODE_3_length_4854_cov_3.654720_6"	"phrog_514"	"major head protein"	"head and packaging"	"bin_12||F1T1_NODE_25_length_6194_cov_4.898029_1"	"phrog_514"	"major head protein"	"head and packaging"	"major head protein"
"bin_94||F4T1_NODE_8_length_17516_cov_18.513659_11"	"phrog_88"	"major tail protein"	"tail"	"bin_94||F4T1_NODE_8_length_17516_cov_18.513659_11"	"phrog_29570"	NA	"unknown function"	"major tail protein"
"bin_16||F2T2_NODE_31_length_5146_cov_2.359065_12"	"phrog_7549"	NA	"unknown function"	"YP_010080562.1"	"phrog_7549"	NA	"unknown function"	"NA"
"bin_42||F2M_NODE_37_length_9407_cov_31.109816_4"	"phrog_135"	"dUTPase"	"DNA, RNA and nucleotide metabolism"	"YP_010082414.1"	"phrog_135"	"dUTPase"	"DNA, RNA and nucleotide metabolism"	"dUTPase"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_81"	"phrog_135"	"dUTPase"	"DNA, RNA and nucleotide metabolism"	"YP_010082414.1"	"phrog_135"	"dUTPase"	"DNA, RNA and nucleotide metabolism"	"dUTPase"
"bin_22||F1T2_NODE_32_length_4279_cov_35.349905_6"	"phrog_135"	"dUTPase"	"DNA, RNA and nucleotide metabolism"	"YP_010082414.1"	"phrog_135"	"dUTPase"	"DNA, RNA and nucleotide metabolism"	"dUTPase"
"bin_04||F1M_NODE_4_length_46155_cov_6.789046_53"	"phrog_130"	"anti-repressor Ant"	"transcription regulation"	"YP_008770817.1"	"phrog_63"	"anti-repressor Ant"	"transcription regulation"	"anti-repressor Ant"
"bin_87||F4M_NODE_3_length_55935_cov_12.067484_43"	"phrog_6688"	NA	"unknown function"	"bin_87||F4M_NODE_3_length_55935_cov_12.067484_43"	NA	NA	NA	"NA"
"bin_87||F4M_NODE_3_length_55935_cov_12.067484_44"	"phrog_6688"	NA	"unknown function"	"bin_87||F4M_NODE_3_length_55935_cov_12.067484_43"	"phrog_6688"	NA	"unknown function"	"NA"
"bin_04||F1M_NODE_3_length_59487_cov_7.401148_43"	"phrog_6688"	NA	"unknown function"	"bin_87||F4M_NODE_3_length_55935_cov_12.067484_43"	"phrog_32401"	NA	"unknown function"	"NA"
"bin_04||F1M_NODE_3_length_59487_cov_7.401148_44"	"phrog_6688"	NA	"unknown function"	"bin_87||F4M_NODE_3_length_55935_cov_12.067484_43"	"phrog_6688"	NA	"unknown function"	"NA"
"bin_04||F1M_NODE_3_length_59487_cov_7.401148_45"	"phrog_6688"	NA	"unknown function"	"bin_87||F4M_NODE_3_length_55935_cov_12.067484_43"	"phrog_6688"	NA	"unknown function"	"NA"
"bin_87||F4M_NODE_3_length_55935_cov_12.067484_45"	"phrog_6688"	NA	"unknown function"	"bin_87||F4M_NODE_3_length_55935_cov_12.067484_43"	"phrog_6688"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_25"	"phrog_16383"	NA	"unknown function"	"YP_010088156.1"	"phrog_16383"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_7_length_14206_cov_35.101618_9"	"phrog_16383"	NA	"unknown function"	"YP_010088156.1"	"phrog_16383"	NA	"unknown function"	"NA"
"bin_38||F2M_NODE_98_length_3684_cov_15.691099_3"	"phrog_15037"	NA	"unknown function"	"YP_005102483.1"	"phrog_15037"	NA	"unknown function"	"NA"
"bin_00||F1M_NODE_17_length_5959_cov_4.418360_2"	"phrog_15037"	NA	"unknown function"	"YP_005102483.1"	"phrog_15037"	NA	"unknown function"	"NA"
"bin_38||F2T1_NODE_4_length_14783_cov_5.242260_5"	"phrog_15037"	NA	"unknown function"	"YP_005102483.1"	"phrog_15037"	NA	"unknown function"	"NA"
"bin_00||F1M_NODE_32_length_2934_cov_3.667593_2"	"phrog_59"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_010108150.1"	"phrog_4578"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_13||F1T1_NODE_28_length_5972_cov_4.304715_11"	"phrog_30034"	NA	"unknown function"	"bin_13||F1T1_NODE_28_length_5972_cov_4.304715_11"	"phrog_27545"	NA	"unknown function"	"NA"
"bin_60||F3M_NODE_15_length_6345_cov_3.223688_1"	"phrog_30034"	NA	"unknown function"	"bin_13||F1T1_NODE_28_length_5972_cov_4.304715_11"	"phrog_30034"	NA	"unknown function"	"NA"
"bin_11||F1T2_NODE_22_length_6024_cov_4.964483_7"	"phrog_30034"	NA	"unknown function"	"bin_13||F1T1_NODE_28_length_5972_cov_4.304715_11"	"phrog_30034"	NA	"unknown function"	"NA"
"bin_06||F1T1_NODE_11_length_12335_cov_9.844788_9"	"phrog_2038"	"upper collar connector"	"connector"	"YP_006218736.1"	"phrog_2038"	"upper collar connector"	"connector"	"upper collar connector"
"bin_22||F1T2_NODE_13_length_10776_cov_38.074527_4"	"phrog_2038"	"upper collar connector"	"connector"	"YP_006218736.1"	"phrog_2038"	"upper collar connector"	"connector"	"upper collar connector"
"bin_67||F3T2_NODE_14_length_17040_cov_17.432028_14"	"phrog_2038"	"upper collar connector"	"connector"	"YP_006218736.1"	"phrog_2038"	"upper collar connector"	"connector"	"upper collar connector"
"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_16"	"phrog_2038"	"upper collar connector"	"connector"	"YP_006218736.1"	"phrog_2038"	"upper collar connector"	"connector"	"upper collar connector"
"bin_07||F1T1_NODE_21_length_9108_cov_4.030156_9"	"phrog_2038"	"upper collar connector"	"connector"	"YP_006218736.1"	"phrog_2038"	"upper collar connector"	"connector"	"upper collar connector"
"bin_41||F2M_NODE_13_length_16832_cov_10.453120_7"	"phrog_2038"	"upper collar connector"	"connector"	"YP_006218736.1"	"phrog_2038"	"upper collar connector"	"connector"	"upper collar connector"
"bin_16||F1T1_NODE_57_length_3474_cov_2.570050_4"	"phrog_2038"	"upper collar connector"	"connector"	"YP_006218736.1"	"phrog_2038"	"upper collar connector"	"connector"	"upper collar connector"
"bin_61||F3M_NODE_24_length_4608_cov_4.180101_3"	"phrog_2038"	"upper collar connector"	"connector"	"YP_006218736.1"	"phrog_2038"	"upper collar connector"	"connector"	"upper collar connector"
"bin_11||F2T2_NODE_32_length_4920_cov_4.094347_6"	"phrog_10"	"major head protein"	"head and packaging"	"NP_463467.1"	"phrog_10"	"major head protein"	"head and packaging"	"major head protein"
"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_12"	"phrog_2197"	"GTP cyclohydrolase"	"other"	"YP_009859595.1"	"phrog_2197"	"GTP cyclohydrolase"	"other"	"GTP cyclohydrolase"
"bin_42||F2M_NODE_37_length_9407_cov_31.109816_2"	"phrog_11738"	NA	"unknown function"	"YP_009052516.1"	"phrog_11738"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_83"	"phrog_11738"	NA	"unknown function"	"YP_009052516.1"	"phrog_11738"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_60"	"phrog_2200"	NA	"unknown function"	"YP_010111263.1"	"phrog_2456"	"glycosyltransferase"	"moron, auxiliary metabolic gene and host takeover"	"glycosyltransferase"
"bin_68||F3T2_NODE_16_length_12864_cov_12.776407_22"	"phrog_2200"	NA	"unknown function"	"YP_010111263.1"	"phrog_2456"	"glycosyltransferase"	"moron, auxiliary metabolic gene and host takeover"	"glycosyltransferase"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_65"	"phrog_31654"	NA	"unknown function"	"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_65"	"phrog_31654"	NA	"unknown function"	"NA"
"bin_39||F4T1_NODE_7_length_18316_cov_12.186080_23"	"phrog_379"	"DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"YP_002221439.1"	"phrog_379"	"DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"DNA binding protein"
"bin_25||F1T2_NODE_39_length_3994_cov_4.134552_2"	"phrog_2248"	"tail protein"	"tail"	"bin_25||F1T2_NODE_39_length_3994_cov_4.134552_2"	"phrog_2248"	"tail protein"	"tail"	"tail protein"
"bin_06||F1T1_NODE_11_length_12335_cov_9.844788_8"	"phrog_2248"	"tail protein"	"tail"	"bin_25||F1T2_NODE_39_length_3994_cov_4.134552_2"	"phrog_2248"	"tail protein"	"tail"	"tail protein"
"bin_16||F1T1_NODE_57_length_3474_cov_2.570050_3"	"phrog_2248"	"tail protein"	"tail"	"bin_25||F1T2_NODE_39_length_3994_cov_4.134552_2"	"phrog_2248"	"tail protein"	"tail"	"tail protein"
"bin_21||F1T2_NODE_10_length_11571_cov_12.400139_12"	"phrog_2248"	"tail protein"	"tail"	"bin_25||F1T2_NODE_39_length_3994_cov_4.134552_2"	"phrog_2248"	"tail protein"	"tail"	"tail protein"
"bin_07||F1T1_NODE_15_length_10016_cov_5.736271_10"	"phrog_2248"	"tail protein"	"tail"	"bin_25||F1T2_NODE_39_length_3994_cov_4.134552_2"	"phrog_2248"	"tail protein"	"tail"	"tail protein"
"bin_22||F1T2_NODE_13_length_10776_cov_38.074527_3"	"phrog_2248"	"tail protein"	"tail"	"bin_25||F1T2_NODE_39_length_3994_cov_4.134552_2"	"phrog_2248"	"tail protein"	"tail"	"tail protein"
"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_15"	"phrog_2248"	"tail protein"	"tail"	"bin_25||F1T2_NODE_39_length_3994_cov_4.134552_2"	"phrog_2248"	"tail protein"	"tail"	"tail protein"
"bin_07||F1T1_NODE_21_length_9108_cov_4.030156_8"	"phrog_2248"	"tail protein"	"tail"	"bin_25||F1T2_NODE_39_length_3994_cov_4.134552_2"	"phrog_2248"	"tail protein"	"tail"	"tail protein"
"bin_67||F3T2_NODE_14_length_17040_cov_17.432028_13"	"phrog_2248"	"tail protein"	"tail"	"bin_25||F1T2_NODE_39_length_3994_cov_4.134552_2"	"phrog_2248"	"tail protein"	"tail"	"tail protein"
"bin_41||F2M_NODE_13_length_16832_cov_10.453120_8"	"phrog_2248"	"tail protein"	"tail"	"bin_25||F1T2_NODE_39_length_3994_cov_4.134552_2"	"phrog_2248"	"tail protein"	"tail"	"tail protein"
"bin_43||F2M_NODE_94_length_4025_cov_15.789673_4"	"phrog_435"	"endolysin"	"lysis"	"YP_009854529.1"	"phrog_435"	"endolysin"	"lysis"	"endolysin"
"bin_38||F2M_NODE_98_length_3684_cov_15.691099_2"	"phrog_435"	"endolysin"	"lysis"	"YP_009854529.1"	"phrog_435"	"endolysin"	"lysis"	"endolysin"
"bin_00||F1M_NODE_17_length_5959_cov_4.418360_3"	"phrog_435"	"endolysin"	"lysis"	"YP_009854529.1"	"phrog_435"	"endolysin"	"lysis"	"endolysin"
"bin_38||F2T1_NODE_4_length_14783_cov_5.242260_6"	"phrog_435"	"endolysin"	"lysis"	"YP_009854529.1"	"phrog_435"	"endolysin"	"lysis"	"endolysin"
"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_44"	"phrog_435"	"endolysin"	"lysis"	"YP_009854529.1"	"phrog_435"	"endolysin"	"lysis"	"endolysin"
"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_96"	"phrog_435"	"endolysin"	"lysis"	"YP_009854529.1"	"phrog_435"	"endolysin"	"lysis"	"endolysin"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_68"	"phrog_99"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"bin_62||F3M_NODE_2_length_96186_cov_32.177903_68"	"phrog_99"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_37||F2M_NODE_113_length_2922_cov_46.970701_2"	"phrog_99"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"bin_62||F3M_NODE_2_length_96186_cov_32.177903_68"	"phrog_99"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_03||F4T1_NODE_15_length_11612_cov_6.134377_1"	"phrog_37651"	"virion structural protein"	"head and packaging"	"bin_03||F4T1_NODE_15_length_11612_cov_6.134377_1"	"phrog_37651"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_03||F4M_NODE_2_length_63054_cov_7.600740_43"	"phrog_37651"	"virion structural protein"	"head and packaging"	"bin_03||F4T1_NODE_15_length_11612_cov_6.134377_1"	"phrog_37651"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_04||F1M_NODE_4_length_46155_cov_6.789046_54"	"phrog_37651"	"virion structural protein"	"head and packaging"	"bin_03||F4T1_NODE_15_length_11612_cov_6.134377_1"	"phrog_37651"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_2"	"phrog_13326"	NA	"unknown function"	"bin_78||F4M_NODE_11_length_20080_cov_5.793358_2"	"phrog_13326"	NA	"unknown function"	"NA"
"bin_25||F2M_NODE_35_length_9690_cov_6.026362_17"	"phrog_3953"	"exonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_009843587.1"	"phrog_3953"	"exonuclease"	"DNA, RNA and nucleotide metabolism"	"exonuclease"
"bin_36||F2M_NODE_111_length_2954_cov_13.211797_4"	"phrog_3953"	"exonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_009843587.1"	"phrog_3953"	"exonuclease"	"DNA, RNA and nucleotide metabolism"	"exonuclease"
"bin_56||F4T1_NODE_24_length_5580_cov_3.940271_3"	"phrog_315"	"endolysin"	"lysis"	"bin_56||F4T1_NODE_24_length_5580_cov_3.940271_3"	"phrog_315"	"endolysin"	"lysis"	"endolysin"
"bin_16||F3T2_NODE_23_length_6074_cov_3.027745_2"	"phrog_315"	"endolysin"	"lysis"	"bin_56||F4T1_NODE_24_length_5580_cov_3.940271_3"	"phrog_315"	"endolysin"	"lysis"	"endolysin"
"bin_45||F4T1_NODE_32_length_4293_cov_12.877875_5"	"phrog_757"	"DNA methyltransferase"	"other"	"NP_944320.1"	"phrog_757"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_00||F1M_NODE_17_length_5959_cov_4.418360_4"	"phrog_14010"	NA	"unknown function"	"bin_00||F1M_NODE_17_length_5959_cov_4.418360_4"	"phrog_14010"	NA	"unknown function"	"NA"
"bin_38||F2M_NODE_98_length_3684_cov_15.691099_1"	"phrog_14010"	NA	"unknown function"	"bin_00||F1M_NODE_17_length_5959_cov_4.418360_4"	"phrog_14010"	NA	"unknown function"	"NA"
"bin_38||F2T1_NODE_4_length_14783_cov_5.242260_7"	"phrog_14010"	NA	"unknown function"	"bin_00||F1M_NODE_17_length_5959_cov_4.418360_4"	"phrog_14010"	NA	"unknown function"	"NA"
"bin_18||F1T1_NODE_6_length_18505_cov_9.144986_20"	"phrog_14010"	NA	"unknown function"	"bin_00||F1M_NODE_17_length_5959_cov_4.418360_4"	"phrog_14010"	NA	"unknown function"	"NA"
"bin_16||F2T2_NODE_31_length_5146_cov_2.359065_8"	"phrog_1632"	NA	"unknown function"	"YP_009226646.1"	"phrog_1632"	NA	"unknown function"	"NA"
"bin_04||F1M_NODE_4_length_46155_cov_6.789046_48"	"phrog_116"	"DNA methyltransferase"	"other"	"bin_04||F1M_NODE_4_length_46155_cov_6.789046_48"	"phrog_363"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_96||F4T2_NODE_5_length_24255_cov_7.660165_1"	"phrog_29474"	NA	"unknown function"	"bin_96||F4T2_NODE_5_length_24255_cov_7.660165_1"	"phrog_22429"	NA	"unknown function"	"NA"
"bin_39||F4T1_NODE_28_length_4911_cov_12.090404_3"	"phrog_29474"	NA	"unknown function"	"bin_96||F4T2_NODE_5_length_24255_cov_7.660165_1"	"phrog_22429"	NA	"unknown function"	"NA"
"bin_17||F2M_NODE_27_length_10346_cov_5.090565_8"	"phrog_29474"	NA	"unknown function"	"bin_96||F4T2_NODE_5_length_24255_cov_7.660165_1"	"phrog_36165"	NA	"unknown function"	"NA"
"bin_25||F1T2_NODE_70_length_2252_cov_2.272189_3"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"YP_009221581.1"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"DNA helicase"
"bin_43||F2M_NODE_3_length_45859_cov_9.702144_13"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"YP_009221581.1"	"phrog_16694"	NA	"unknown function"	"DNA helicase"
"bin_04||F1M_NODE_4_length_46155_cov_6.789046_18"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"YP_009221581.1"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"DNA helicase"
"bin_03||F4M_NODE_2_length_63054_cov_7.600740_11"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"YP_009221581.1"	"phrog_62"	"DNA helicase"	"DNA, RNA and nucleotide metabolism"	"DNA helicase"
"bin_53||F2T2_NODE_13_length_17782_cov_7.428668_23"	"phrog_1770"	"Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"bin_53||F2T2_NODE_13_length_17782_cov_7.428668_23"	"phrog_1770"	"Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"Holliday junction resolvase"
"bin_08||F1T1_NODE_16_length_9756_cov_3.211009_7"	"phrog_3000"	NA	"unknown function"	"YP_009220285.1"	"phrog_3000"	NA	"unknown function"	"NA"
"bin_35||F2M_NODE_1_length_53054_cov_5.764014_33"	"phrog_3000"	NA	"unknown function"	"YP_009220285.1"	"phrog_3000"	NA	"unknown function"	"NA"
"bin_24||F2T2_NODE_9_length_25951_cov_7.477178_41"	"phrog_1029"	NA	"unknown function"	"YP_009099295.1"	"phrog_1029"	NA	"unknown function"	"NA"
"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_2"	"phrog_19606"	NA	"unknown function"	"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_2"	"phrog_19606"	NA	"unknown function"	"NA"
"bin_17||F1T1_NODE_64_length_2722_cov_2.299963_4"	"phrog_19606"	NA	"unknown function"	"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_2"	"phrog_19606"	NA	"unknown function"	"NA"
"bin_17||F3M_NODE_12_length_7213_cov_3.918692_16"	"phrog_19606"	NA	"unknown function"	"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_2"	"phrog_19606"	NA	"unknown function"	"NA"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_4"	"phrog_856"	NA	"unknown function"	"YP_007001959.1"	"phrog_856"	NA	"unknown function"	"NA"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_3"	"phrog_898"	NA	"unknown function"	"bin_78||F4M_NODE_11_length_20080_cov_5.793358_3"	"phrog_898"	NA	"unknown function"	"NA"
"bin_79||F4M_NODE_15_length_12359_cov_8.118579_13"	"phrog_2006"	"major head protein"	"head and packaging"	"bin_79||F4M_NODE_15_length_12359_cov_8.118579_13"	"phrog_2006"	"major head protein"	"head and packaging"	"major head protein"
"bin_66||F3M_NODE_8_length_11200_cov_22.507941_4"	"phrog_2006"	"major head protein"	"head and packaging"	"bin_79||F4M_NODE_15_length_12359_cov_8.118579_13"	"phrog_2006"	"major head protein"	"head and packaging"	"major head protein"
"bin_28||F4T1_NODE_54_length_2973_cov_2.653530_2"	"phrog_1384"	"Mom-like DNA modification protein"	"other"	"NP_945097.1"	"phrog_1384"	"Mom-like DNA modification protein"	"other"	"Mom-like DNA modification protein"
"bin_38||F2M_NODE_62_length_6069_cov_13.771866_9"	"phrog_72"	"NinB/ Orf homologous recombination mediator"	"DNA, RNA and nucleotide metabolism"	"bin_38||F2M_NODE_62_length_6069_cov_13.771866_9"	"phrog_23774"	NA	"unknown function"	"NinB/ Orf homologous recombination mediator"
"bin_38||F2T1_NODE_5_length_9843_cov_5.227523_17"	"phrog_72"	"NinB/ Orf homologous recombination mediator"	"DNA, RNA and nucleotide metabolism"	"bin_38||F2M_NODE_62_length_6069_cov_13.771866_9"	"phrog_23774"	NA	"unknown function"	"NinB/ Orf homologous recombination mediator"
"bin_10||F1T1_NODE_20_length_9109_cov_4.891208_1"	"phrog_9958"	NA	"unknown function"	"YP_009797027.1"	"phrog_9958"	NA	"unknown function"	"NA"
"bin_05||F1T1_NODE_10_length_13616_cov_4.586535_7"	"phrog_9958"	NA	"unknown function"	"YP_009797027.1"	"phrog_9958"	NA	"unknown function"	"NA"
"bin_56||F4T1_NODE_21_length_6354_cov_2.996984_10"	"phrog_8928"	NA	"unknown function"	"NP_061635.1"	"phrog_8928"	NA	"unknown function"	"NA"
