,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
12,Acidianus~filamentous~virus~9,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,18_0,Clustered,6,VC_18_0,6,0.9552,0.99999592,0.9552,1,1,1,1.0
13,Acidianus~spindle-shaped~virus~1,Unassigned,Fuselloviridae,Betafusellovirus,20_0,Clustered,9,VC_20_0,9,0.9089,0.99999548,0.9089,2,1,1,1.0
14,Acinetobacter~phage~AB1,Caudovirales,Myoviridae,Ap22virus,27_0,Clustered,9,VC_27_0,9,0.8624,1.0,0.8624,2,1,1,1.0
15,Acinetobacter~phage~AB3,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
16,Acinetobacter~phage~AP22,Caudovirales,Myoviridae,Ap22virus,27_0,Clustered,9,VC_27_0,9,0.8624,1.0,0.8624,2,1,1,1.0
17,Acinetobacter~phage~AbP2,Caudovirales,Myoviridae,Obolenskvirus,27_0,Clustered,9,VC_27_0,9,0.8624,1.0,0.8624,2,1,1,1.0
18,Acinetobacter~phage~Abp1,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
19,Acinetobacter~phage~Bphi-B1251,Caudovirales,Siphoviridae,Vieuvirus,39_0,Clustered,3,VC_39_0,3,0.8595,0.99090909,0.8517,1,1,1,1.0
20,Acinetobacter~phage~Fri1,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
21,Acinetobacter~phage~IME-AB2,Caudovirales,Myoviridae,Ap22virus,27_0,Clustered,9,VC_27_0,9,0.8624,1.0,0.8624,2,1,1,1.0
22,Acinetobacter~phage~IME200,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
23,Acinetobacter~phage~IME_AB3,Caudovirales,Siphoviridae,Unassigned,1_0,Clustered,12,VC_1_0,12,0.7004,1.0,0.7004,4,1,1,1.0
24,Acinetobacter~phage~LZ35,Caudovirales,Myoviridae,Obolenskvirus,27_0,Clustered,9,VC_27_0,9,0.8624,1.0,0.8624,2,1,1,1.0
25,Acinetobacter~phage~Petty,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
26,Acinetobacter~phage~SH-Ab~15519,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
27,Acinetobacter~phage~WCHABP1,Caudovirales,Myoviridae,Obolenskvirus,27_0,Clustered,9,VC_27_0,9,0.8624,1.0,0.8624,2,1,1,1.0
28,Acinetobacter~phage~WCHABP12,Caudovirales,Myoviridae,Obolenskvirus,27_0,Clustered,9,VC_27_0,9,0.8624,1.0,0.8624,2,1,1,1.0
29,Acinetobacter~phage~WCHABP5,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
30,Acinetobacter~phage~YMC-13-01-C62,Caudovirales,Myoviridae,Ap22virus,27_0,Clustered,9,VC_27_0,9,0.8624,1.0,0.8624,2,1,1,1.0
31,Acinetobacter~phage~YMC11/11/R3177,Caudovirales,Siphoviridae,Vieuvirus,39_0,Clustered,3,VC_39_0,3,0.8595,0.99090909,0.8517,1,1,1,1.0
32,Acinetobacter~phage~YMC11/12/R2315,Caudovirales,Myoviridae,Obolenskvirus,27_0,Clustered,9,VC_27_0,9,0.8624,1.0,0.8624,2,1,1,1.0
33,Acinetobacter~phage~phiAB1,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
34,Acinetobacter~phage~phiAB6,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
35,Acinetobacter~phage~vB_AbaM_Acibel004,Caudovirales,Myoviridae,Unassigned,42_0,Clustered,2,VC_42_0,2,0.1592,0.90563433,0.1442,1,1,1,1.0
36,Acinetobacter~phage~vB_AbaM_phiAbaA1,Caudovirales,Myoviridae,Unassigned,42_0,Clustered,2,VC_42_0,2,0.1592,0.90563433,0.1442,1,1,1,1.0
37,Acinetobacter~phage~vB_AbaP_AS11,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
38,Acinetobacter~phage~vB_AbaP_AS12,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
39,Acinetobacter~phage~vB_AbaP_Acibel007,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
40,Acinetobacter~phage~vB_AbaP_B1,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
41,Acinetobacter~phage~vB_AbaP_B3,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
42,Acinetobacter~phage~vB_AbaP_B5,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
43,Acinetobacter~phage~vB_AbaP_D2,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
44,Acinetobacter~phage~vB_AbaP_PD-6A3,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
45,Acinetobacter~phage~vB_AbaP_PD-AB9,Caudovirales,Podoviridae,Fri1virus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
46,Acinetobacter~phage~vB_AbaS_Loki,Caudovirales,Siphoviridae,Unassigned,1_0,Clustered,12,VC_1_0,12,0.7004,1.0,0.7004,4,1,1,1.0
47,Acinetobacter~phage~vB_AbaS_TRS1,Caudovirales,Siphoviridae,Vieuvirus,39_0,Clustered,3,VC_39_0,3,0.8595,0.99090909,0.8517,1,1,1,1.0
48,Acinetobacter~phage~vB_ApiP_P1,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
49,Acinetobacter~phage~vB_ApiP_P2,Caudovirales,Podoviridae,Friunavirus,28_0,Clustered,20,VC_28_0,20,0.9504,1.0,0.9504,2,1,1,1.0
50,Aeromonas~phage~AS-gz,Caudovirales,Myoviridae,Tulanevirus,34_1,Clustered,5,VC_34_1,5,0.1071,0.99999987,0.1071,2,1,1,1.0
51,Aeromonas~phage~Aes012,Caudovirales,Myoviridae,Secunda5virus,34_1,Clustered,5,VC_34_1,5,0.1071,0.99999987,0.1071,2,1,1,1.0
52,Aeromonas~phage~Aes508,Caudovirales,Myoviridae,Secunda5virus,34_1,Clustered,5,VC_34_1,5,0.1071,0.99999987,0.1071,2,1,1,1.0
53,Aeromonas~phage~CC2,Caudovirales,Myoviridae,Unassigned,35_0,Clustered,2,VC_35_0,2,0.0361,0.91403956,0.033,1,1,1,1.0
54,Aeromonas~phage~PX29,Caudovirales,Myoviridae,Unassigned,35_1,Clustered,3,VC_35_1,3,0.0656,0.99711498,0.0654,1,1,1,1.0
55,Aeromonas~phage~pAh6-C,Caudovirales,Myoviridae,Unassigned,57_0,Clustered,5,VC_57_0,5,1.0,0.0,0.0,1,1,1,1.0
56,Aeromonas~phage~pIS4-A,Caudovirales,Siphoviridae,Pis4avirus,59_0,Clustered,5,VC_59_0,5,0.6666,0.99999981,0.6666,2,1,1,1.0
57,Aeromonas~phage~phiAS4,Caudovirales,Myoviridae,Secunda5virus,34_1,Clustered,5,VC_34_1,5,0.1071,0.99999987,0.1071,2,1,1,1.0
58,Aeromonas~phage~phiAS5,Caudovirales,Myoviridae,Unassigned,35_1,Clustered,3,VC_35_1,3,0.0656,0.99711498,0.0654,1,1,1,1.0
59,Aeromonas~phage~phiAS7,Caudovirales,Podoviridae,Unassigned,66_0,Clustered,5,VC_66_0,5,0.5148,0.99999985,0.5148,1,1,1,1.0
60,Aeromonas~virus~25,Caudovirales,Myoviridae,Secunda5virus,34_1,Clustered,5,VC_34_1,5,0.1071,0.99999987,0.1071,2,1,1,1.0
61,Aeromonas~virus~31,Caudovirales,Myoviridae,Secunda5virus,34_0,Clustered,2,VC_34_0,2,0.025,0.89631652,0.0224,2,1,1,1.0
62,Aeromonas~virus~44RR2,Caudovirales,Myoviridae,Biquartavirus,34_0,Clustered,2,VC_34_0,2,0.025,0.89631652,0.0224,2,1,1,1.0
63,Aeromonas~virus~65,Caudovirales,Myoviridae,Unassigned,35_0,Clustered,2,VC_35_0,2,0.0361,0.91403956,0.033,1,1,1,1.0
64,Aeromonas~virus~Aeh1,Caudovirales,Myoviridae,Unassigned,35_1,Clustered,3,VC_35_1,3,0.0656,0.99711498,0.0654,1,1,1,1.0
65,Aeromonas~virus~phiO18P,Caudovirales,Myoviridae,Hp1virus,69_0,Clustered,7,VC_69_0,7,0.562,1.0,0.562,2,1,1,1.0
66,Aggregatibacter~phage~S1249,Caudovirales,Myoviridae,Unassigned,6_0,Clustered,2,VC_6_0,2,0.5922,0.87490959,0.5181,1,1,1,1.0
67,Agrobacterium~phage~7-7-1,Caudovirales,Myoviridae,Unassigned,70_0,Clustered,3,VC_70_0,3,0.1947,0.96676253,0.1883,2,3,2,1.0
68,Alces~alces~faeces~associated~microvirus~MP10~5560,Unassigned,Microviridae,Unassigned,73_0,Clustered,6,VC_73_0,6,0.5742,0.99999109,0.5742,1,1,1,1.0
69,Alces~alces~faeces~associated~microvirus~MP12~5423,Unassigned,Microviridae,Unassigned,72_0,Clustered,12,VC_72_0,12,0.7849,1.0,0.7849,3,1,1,1.0
70,Alces~alces~faeces~associated~microvirus~MP18~4940,Unassigned,Microviridae,Unassigned,73_0,Clustered,6,VC_73_0,6,0.5742,0.99999109,0.5742,1,1,1,1.0
71,Aquamicrobium~phage~P14,Caudovirales,Podoviridae,Aqualcavirus,65_0,Clustered,15,VC_65_0,15,0.7261,1.0,0.7261,6,1,1,1.0
72,Archaeal~BJ1~virus,Caudovirales,Siphoviridae,Unassigned,80_0,Clustered,2,VC_80_0,2,0.8398,0.33333333,0.2799,1,2,2,1.0
73,Arthrobacter~phage~Abidatro,Caudovirales,Siphoviridae,Galaxyvirus,82_0,Clustered,2,VC_82_0,2,0.4653,0.90155434,0.4195,1,1,1,1.0
74,Arthrobacter~phage~Adat,Caudovirales,Podoviridae,Jasminevirus,87_0,Clustered,2,VC_87_0,2,1.0,0.0,0.0,1,1,1,1.0
75,Arthrobacter~phage~Amigo,Caudovirales,Siphoviridae,Amigovirus,88_0,Clustered,2,VC_88_0,2,0.7555,0.71428571,0.5396,1,1,1,1.0
76,Arthrobacter~phage~BarretLemon,Caudovirales,Myoviridae,Marthavirus,90_0,Clustered,8,VC_90_0,8,0.8667,1.0,0.8667,1,1,1,1.0
77,Arthrobacter~phage~Beans,Caudovirales,Myoviridae,Marthavirus,90_0,Clustered,8,VC_90_0,8,0.8667,1.0,0.8667,1,1,1,1.0
78,Arthrobacter~phage~Bennie,Caudovirales,Siphoviridae,Korravirus,81_0,Clustered,9,VC_81_0,9,0.9272,1.0,0.9272,1,1,1,1.0
79,Arthrobacter~phage~Brent,Caudovirales,Myoviridae,Marthavirus,90_0,Clustered,8,VC_90_0,8,0.8667,1.0,0.8667,1,1,1,1.0
80,Arthrobacter~phage~Colucci,Caudovirales,Myoviridae,Radnorvirus,91_0,Clustered,3,VC_91_0,3,0.4648,0.9939444,0.4619,2,1,1,1.0
81,Arthrobacter~phage~DrRobert,Caudovirales,Siphoviridae,Korravirus,81_0,Clustered,9,VC_81_0,9,0.9272,1.0,0.9272,1,1,1,1.0
82,Arthrobacter~phage~Galaxy,Caudovirales,Siphoviridae,Galaxyvirus,82_0,Clustered,2,VC_82_0,2,0.4653,0.90155434,0.4195,1,1,1,1.0
83,Arthrobacter~phage~Glenn,Caudovirales,Siphoviridae,Korravirus,81_0,Clustered,9,VC_81_0,9,0.9272,1.0,0.9272,1,1,1,1.0
84,Arthrobacter~phage~HunterDalle,Caudovirales,Siphoviridae,Korravirus,81_0,Clustered,9,VC_81_0,9,0.9272,1.0,0.9272,1,1,1,1.0
85,Arthrobacter~phage~Jasmine,Caudovirales,Podoviridae,Jasminevirus,87_0,Clustered,2,VC_87_0,2,1.0,0.0,0.0,1,1,1,1.0
86,Arthrobacter~phage~Jawnski,Caudovirales,Myoviridae,Marthavirus,90_0,Clustered,8,VC_90_0,8,0.8667,1.0,0.8667,1,1,1,1.0
87,Arthrobacter~phage~Joann,Caudovirales,Siphoviridae,Korravirus,81_0,Clustered,9,VC_81_0,9,0.9272,1.0,0.9272,1,1,1,1.0
88,Arthrobacter~phage~KellEzio,Caudovirales,Siphoviridae,Kelleziovirus,101_0,Clustered,2,VC_101_0,2,1.0,0.0,0.0,1,1,1,1.0
89,Arthrobacter~phage~Kitkat,Caudovirales,Siphoviridae,Kelleziovirus,101_0,Clustered,2,VC_101_0,2,1.0,0.0,0.0,1,1,1,1.0
90,Arthrobacter~phage~Korra,Caudovirales,Siphoviridae,Korravirus,81_0,Clustered,9,VC_81_0,9,0.9272,1.0,0.9272,1,1,1,1.0
91,Arthrobacter~phage~Martha,Caudovirales,Myoviridae,Marthavirus,90_0,Clustered,8,VC_90_0,8,0.8667,1.0,0.8667,1,1,1,1.0
92,Arthrobacter~phage~Molivia,Caudovirales,Siphoviridae,Amigovirus,88_0,Clustered,2,VC_88_0,2,0.7555,0.71428571,0.5396,1,1,1,1.0
93,Arthrobacter~phage~Piccoletto,Caudovirales,Myoviridae,Marthavirus,90_0,Clustered,8,VC_90_0,8,0.8667,1.0,0.8667,1,1,1,1.0
94,Arthrobacter~phage~Preamble,Caudovirales,Siphoviridae,Korravirus,81_0,Clustered,9,VC_81_0,9,0.9272,1.0,0.9272,1,1,1,1.0
95,Arthrobacter~phage~PrincessTrina,Caudovirales,Myoviridae,Arv1virus,91_0,Clustered,3,VC_91_0,3,0.4648,0.9939444,0.4619,2,1,1,1.0
96,Arthrobacter~phage~Pumancara,Caudovirales,Siphoviridae,Korravirus,81_0,Clustered,9,VC_81_0,9,0.9272,1.0,0.9272,1,1,1,1.0
97,Arthrobacter~phage~Shade,Caudovirales,Myoviridae,Marthavirus,90_0,Clustered,8,VC_90_0,8,0.8667,1.0,0.8667,1,1,1,1.0
98,Arthrobacter~phage~Sonny,Caudovirales,Myoviridae,Marthavirus,90_0,Clustered,8,VC_90_0,8,0.8667,1.0,0.8667,1,1,1,1.0
99,Arthrobacter~phage~Wayne,Caudovirales,Siphoviridae,Korravirus,81_0,Clustered,9,VC_81_0,9,0.9272,1.0,0.9272,1,1,1,1.0
100,Arthrobacter~phage~vB_ArtM-ArV1,Caudovirales,Myoviridae,Arv1virus,91_0,Clustered,3,VC_91_0,3,0.4648,0.9939444,0.4619,2,1,1,1.0
101,Bacillus~phage~AR9,Caudovirales,Myoviridae,Unassigned,105_0,Clustered/Singleton,1,VC_105_0,1,0.0,0.0,0.0,1,1,1,1.0
102,Bacillus~phage~Aurora,Caudovirales,Podoviridae,Salasvirus,49_0,Clustered,4,VC_49_0,4,0.5587,0.99999999,0.5587,1,1,1,1.0
103,Bacillus~phage~BPS10C,Caudovirales,Herelleviridae,Wphvirus,108_1,Clustered,4,VC_108_1,4,0.0706,0.99793432,0.0704,1,2,1,1.0
104,Bacillus~phage~BPS13,Caudovirales,Myoviridae,Wphvirus,108_1,Clustered,4,VC_108_1,4,0.0706,0.99793432,0.0704,1,2,1,1.0
105,Bacillus~phage~Bam35c,Unassigned,Tectiviridae,Betatectivirus,124_0,Clustered,4,VC_124_0,4,1.0,0.0,0.0,1,1,1,1.0
106,Bacillus~phage~Belinda,Caudovirales,Herelleviridae,Wphvirus,108_0,Clustered,12,VC_108_0,12,0.3173,1.0,0.3173,1,2,1,1.0
107,Bacillus~phage~CampHawk,Caudovirales,Myoviridae,Spo1virus,109_0,Clustered,2,VC_109_0,2,0.2593,0.90732454,0.2353,1,1,1,1.0
108,Bacillus~phage~Claudi,Caudovirales,Podoviridae,Salasvirus,49_0,Clustered,4,VC_49_0,4,0.5587,0.99999999,0.5587,1,1,1,1.0
109,Bacillus~phage~DIGNKC,Caudovirales,Herelleviridae,Wphvirus,108_0,Clustered,12,VC_108_0,12,0.3173,1.0,0.3173,1,2,1,1.0
110,Bacillus~phage~DirtyBetty,Caudovirales,Herelleviridae,Wphvirus,108_0,Clustered,12,VC_108_0,12,0.3173,1.0,0.3173,1,2,1,1.0
111,Bacillus~phage~Eyuki,Caudovirales,Herelleviridae,Wphvirus,108_0,Clustered,12,VC_108_0,12,0.3173,1.0,0.3173,1,2,1,1.0
112,Bacillus~phage~Fah,Caudovirales,Siphoviridae,Wbetavirus,126_0,Clustered,3,VC_126_0,3,0.4068,0.99590977,0.4051,1,1,1,1.0
113,Bacillus~phage~GIL16c,Unassigned,Tectiviridae,Betatectivirus,124_0,Clustered,4,VC_124_0,4,1.0,0.0,0.0,1,1,1,1.0
114,Bacillus~phage~Gamma,Caudovirales,Siphoviridae,Wbetavirus,126_0,Clustered,3,VC_126_0,3,0.4068,0.99590977,0.4051,1,1,1,1.0
115,Bacillus~phage~Hakuna,Caudovirales,Myoviridae,Wphvirus,108_0,Clustered,12,VC_108_0,12,0.3173,1.0,0.3173,1,2,1,1.0
116,Bacillus~phage~Kida,Caudovirales,Herelleviridae,Wphvirus,108_0,Clustered,12,VC_108_0,12,0.3173,1.0,0.3173,1,2,1,1.0
117,Bacillus~phage~MG-B1,Caudovirales,Podoviridae,Salasvirus,49_0,Clustered,4,VC_49_0,4,0.5587,0.99999999,0.5587,1,1,1,1.0
118,Bacillus~phage~Megatron,Caudovirales,Myoviridae,Wphvirus,108_0,Clustered,12,VC_108_0,12,0.3173,1.0,0.3173,1,2,1,1.0
119,Bacillus~phage~Mgbh1,Caudovirales,Siphoviridae,Magadivirus,138_0,Clustered,2,VC_138_0,2,0.3708,0.86379026,0.3203,2,1,1,1.0
120,Bacillus~phage~Nemo,Caudovirales,Herelleviridae,Wphvirus,108_0,Clustered,12,VC_108_0,12,0.3173,1.0,0.3173,1,2,1,1.0
121,Bacillus~phage~Nigalana,Caudovirales,Herelleviridae,Wphvirus,108_0,Clustered,12,VC_108_0,12,0.3173,1.0,0.3173,1,2,1,1.0
122,Bacillus~phage~NotTheCreek,Caudovirales,Herelleviridae,Wphvirus,108_0,Clustered,12,VC_108_0,12,0.3173,1.0,0.3173,1,2,1,1.0
123,Bacillus~phage~PM1,Caudovirales,Siphoviridae,Unassigned,144_0,Clustered,3,VC_144_0,3,0.2742,0.90705946,0.2487,2,1,1,0.6667
124,Bacillus~phage~Page,Caudovirales,Podoviridae,Pagevirus,150_0,Clustered,6,VC_150_0,6,0.9858,0.99993675,0.9858,1,1,1,1.0
125,Bacillus~phage~Palmer,Caudovirales,Podoviridae,Pagevirus,150_0,Clustered,6,VC_150_0,6,0.9858,0.99993675,0.9858,1,1,1,1.0
126,Bacillus~phage~Pascal,Caudovirales,Podoviridae,Pagevirus,150_0,Clustered,6,VC_150_0,6,0.9858,0.99993675,0.9858,1,1,1,1.0
127,Bacillus~phage~Pavlov,Caudovirales,Podoviridae,Pagevirus,150_0,Clustered,6,VC_150_0,6,0.9858,0.99993675,0.9858,1,1,1,1.0
128,Bacillus~phage~Pony,Caudovirales,Podoviridae,Pagevirus,150_0,Clustered,6,VC_150_0,6,0.9858,0.99993675,0.9858,1,1,1,1.0
129,Bacillus~phage~Pookie,Caudovirales,Podoviridae,Pagevirus,150_0,Clustered,6,VC_150_0,6,0.9858,0.99993675,0.9858,1,1,1,1.0
130,Bacillus~phage~SP-15,Caudovirales,Myoviridae,Thornevirus,152_0,Clustered/Singleton,1,VC_152_0,1,0.0,0.0,0.0,1,1,1,1.0
131,Bacillus~phage~SageFayge,Caudovirales,Herelleviridae,Wphvirus,108_0,Clustered,12,VC_108_0,12,0.3173,1.0,0.3173,1,2,1,1.0
132,Bacillus~phage~SalinJah,Caudovirales,Herelleviridae,Wphvirus,108_1,Clustered,4,VC_108_1,4,0.0706,0.99793432,0.0704,1,2,1,1.0
133,Bacillus~phage~Slash,Caudovirales,Siphoviridae,Slashvirus,136_0,Clustered,4,VC_136_0,4,0.9983,0.92857143,0.927,1,1,1,1.0
134,Bacillus~phage~Stahl,Caudovirales,Siphoviridae,Slashvirus,136_0,Clustered,4,VC_136_0,4,0.9983,0.92857143,0.927,1,1,1,1.0
135,Bacillus~phage~Staley,Caudovirales,Siphoviridae,Slashvirus,136_0,Clustered,4,VC_136_0,4,0.9983,0.92857143,0.927,1,1,1,1.0
136,Bacillus~phage~Stills,Caudovirales,Siphoviridae,Slashvirus,136_0,Clustered,4,VC_136_0,4,0.9983,0.92857143,0.927,1,1,1,1.0
137,Bacillus~phage~Stitch,Caudovirales,Podoviridae,Salasvirus,49_0,Clustered,4,VC_49_0,4,0.5587,0.99999999,0.5587,1,1,1,1.0
138,Bacillus~phage~TP21-L,Caudovirales,Siphoviridae,Tp21virus,131_0,Clustered,2,VC_131_0,2,0.7537,0.71428571,0.5384,1,1,1,1.0
139,Bacillus~phage~W.Ph.,Caudovirales,Myoviridae,Wphvirus,108_1,Clustered,4,VC_108_1,4,0.0706,0.99793432,0.0704,1,2,1,1.0
140,Bacillus~phage~Wip1,Unassigned,Tectiviridae,Betatectivirus,124_0,Clustered,4,VC_124_0,4,1.0,0.0,0.0,1,1,1,1.0
141,Bacillus~phage~Zuko,Caudovirales,Herelleviridae,Wphvirus,108_0,Clustered,12,VC_108_0,12,0.3173,1.0,0.3173,1,2,1,1.0
142,Bacillus~phage~vB_BanS-Tsamsa,Caudovirales,Siphoviridae,Unassigned,110_4,Clustered/Singleton,1,VC_110_4,1,0.0,0.0,0.0,1,1,1,1.0
143,Bacillus~virus~1,Caudovirales,Myoviridae,Svunavirus,137_0,Clustered,2,VC_137_0,2,0.3791,0.88928749,0.3371,1,1,1,1.0
144,Bacillus~virus~250,Caudovirales,Siphoviridae,Cecivirus,114_0,Clustered,2,VC_114_0,2,0.3991,0.89260665,0.3563,1,1,1,1.0
145,Bacillus~virus~AP50,Unassigned,Tectiviridae,Betatectivirus,124_0,Clustered,4,VC_124_0,4,1.0,0.0,0.0,1,1,1,1.0
146,Bacillus~virus~Andromeda,Caudovirales,Siphoviridae,Andromedavirus,160_0,Clustered,8,VC_160_0,8,1.0,0.0,0.0,1,1,1,1.0
147,Bacillus~virus~BMBtp2,Caudovirales,Siphoviridae,Tp21virus,131_0,Clustered,2,VC_131_0,2,0.7537,0.71428571,0.5384,1,1,1,1.0
148,Bacillus~virus~Blastoid,Caudovirales,Siphoviridae,Andromedavirus,160_0,Clustered,8,VC_160_0,8,1.0,0.0,0.0,1,1,1,1.0
149,Bacillus~virus~Curly,Caudovirales,Siphoviridae,Andromedavirus,160_0,Clustered,8,VC_160_0,8,1.0,0.0,0.0,1,1,1,1.0
150,Bacillus~virus~Eoghan,Caudovirales,Siphoviridae,Andromedavirus,160_0,Clustered,8,VC_160_0,8,1.0,0.0,0.0,1,1,1,1.0
151,Bacillus~virus~Finn,Caudovirales,Siphoviridae,Andromedavirus,160_0,Clustered,8,VC_160_0,8,1.0,0.0,0.0,1,1,1,1.0
152,Bacillus~virus~G,Caudovirales,Myoviridae,Unassigned,152_1,Clustered/Singleton,1,VC_152_1,1,0.0,0.0,0.0,1,1,1,1.0
153,Bacillus~virus~Glittering,Caudovirales,Siphoviridae,Andromedavirus,160_0,Clustered,8,VC_160_0,8,1.0,0.0,0.0,1,1,1,1.0
154,Bacillus~virus~IEBH,Caudovirales,Siphoviridae,Cecivirus,114_0,Clustered,2,VC_114_0,2,0.3991,0.89260665,0.3563,1,1,1,1.0
155,Bacillus~virus~Riggi,Caudovirales,Siphoviridae,Andromedavirus,160_0,Clustered,8,VC_160_0,8,1.0,0.0,0.0,1,1,1,1.0
156,Bacillus~virus~SPO1,Caudovirales,Myoviridae,Spo1virus,109_0,Clustered,2,VC_109_0,2,0.2593,0.90732454,0.2353,1,1,1,1.0
157,Bacillus~virus~SPbeta,Caudovirales,Siphoviridae,Spbetavirus,110_0,Clustered/Singleton,1,VC_110_0,1,0.0,0.0,0.0,1,1,1,1.0
158,Bacillus~virus~Taylor,Caudovirales,Siphoviridae,Andromedavirus,160_0,Clustered,8,VC_160_0,8,1.0,0.0,0.0,1,1,1,1.0
159,Bacillus~virus~Wbeta,Caudovirales,Siphoviridae,Wbetavirus,126_0,Clustered,3,VC_126_0,3,0.4068,0.99590977,0.4051,1,1,1,1.0
160,Bacteriophage~APSE-2,Caudovirales,Podoviridae,Unassigned,163_0,Clustered,2,VC_163_0,2,0.1366,0.90284751,0.1234,1,1,1,1.0
161,Bacteroides~phage~B124-14,Caudovirales,Siphoviridae,Unassigned,142_0,Clustered,2,VC_142_0,2,0.3953,0.89941904,0.3556,1,1,1,1.0
